1$Ц.К.Корсункиев, калмыцко-русски$В.Э. Очир-Гаряев
2$Краткий русско-калмыцкий$ -
3$Лист12$ -
4$Лист13$ -
5$Б.Б.Манджикова, калмыцко-русски$ -
7$Л.Н.Мушанова, Э.С.Эдлеева, школ$ -
8$Калмыцко-русский словарь В.Э. Очир_гаряева$В.Э. Очир-Гаряев
9$Н.Убушаев, Н.Замбаев, калмыцко-$ -
10$Калмыцко-русский словарь$Муниев
14$На удаление$словарь
16$Толковый словарь традиционного быта калмыков$Г. Ц. Пюрбеев
17$Би Хальмг кел дасчанав: Я изучаю калмыцкий$[!Не трогать, словарь в работе]
18$Аюка Эрднеев$Аюка
